"filename", "language", "JavaScript", "XML", "CSS", "SCSS", "JSON", "Log", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\src\components\Snackbar.component.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"e:\Dev\React\SidiroIOT\client\src\components\UniversalTable.component.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"e:\Dev\React\SidiroIOT\client\src\components\UniversalTabs.component.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 3, 11, 105
"e:\Dev\React\SidiroIOT\client\src\components\UserAccountsPage.component.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 12, 150
"e:\Dev\React\SidiroIOT\client\src\i18n.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 11, 11, 53
"e:\Dev\React\SidiroIOT\client\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Dev\React\SidiroIOT\client\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"e:\Dev\React\SidiroIOT\client\src\logo.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Dev\React\SidiroIOT\client\src\reducers\AccountPage.reducer.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"e:\Dev\React\SidiroIOT\client\src\reducers\Authentication.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\Backdrop.reducer.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\Dev\React\SidiroIOT\client\src\reducers\CollapsibleTable.reducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"e:\Dev\React\SidiroIOT\client\src\reducers\ConfirmDeleteUserDialog.reducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\reducers\CreateAccountDialog.reducer.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"e:\Dev\React\SidiroIOT\client\src\reducers\DevicesList.reducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Dev\React\SidiroIOT\client\src\reducers\DevicesSelectionPage.reducer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"e:\Dev\React\SidiroIOT\client\src\reducers\HardwareUsage.reducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Dev\React\SidiroIOT\client\src\reducers\IPConfig.reducer.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"e:\Dev\React\SidiroIOT\client\src\reducers\LanguageDialog.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\LoginPage.reducer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"e:\Dev\React\SidiroIOT\client\src\reducers\Logs.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\Root.reducer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\Dev\React\SidiroIOT\client\src\reducers\Settings.reducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Dev\React\SidiroIOT\client\src\reducers\Snackbar.reducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\reducers\UniversalTabs.reducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\UserAccountsPage.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\routes\DrawerRoutes.routes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\Dev\React\SidiroIOT\client\src\routes\ProtectedAdmin.routes.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"e:\Dev\React\SidiroIOT\client\src\routes\ProtectedUser.routes.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"e:\Dev\React\SidiroIOT\client\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 31, 13, 142
"e:\Dev\React\SidiroIOT\client\src\services\activate.service.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"e:\Dev\React\SidiroIOT\client\src\services\auth.service.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Dev\React\SidiroIOT\client\src\services\device.service.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\services\file.service.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\Dev\React\SidiroIOT\client\src\services\ipconfig.service.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"e:\Dev\React\SidiroIOT\client\src\services\isAuthenticated.service.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\services\logs.service.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\services\user.service.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"e:\Dev\React\SidiroIOT\client\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\Dev\React\SidiroIOT\client\src\translations.js", "JavaScript", 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 482
"e:\Dev\React\SidiroIOT\client\src\utilities\formatDateTime.utility.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Dev\React\SidiroIOT\client\src\utilities\mbVariableConverter.utility.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"e:\Dev\React\SidiroIOT\client\src\utilities\sortObject.utility.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\Dev\React\SidiroIOT\client\src\utilities\sortRows.utility.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 7, 2, 34
"e:\Dev\React\SidiroIOT\client\src\workers\devices.worker.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 3, 35
"e:\Dev\React\SidiroIOT\client\src\workers\hwinfo.worker.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 2, 31
"Total", "-", 6426, 54, 12, 8, 16335, 6, 37, 22, 208, 563, 23671
